No.	line_No	x	y
0	0	70.0	70.0
1	0	99.29411764705883	29.823529411764707
2	0	104.25	4.0
3	0	122.23076923076923	13.23076923076923
0	1	70.0	70.0
1	1	15.928571428571429	94.21428571428571
2	1	26.642857142857142	107.42857142857143
3	1	9.833333333333334	124.16666666666667
0	2	70.0	70.0
1	2	58.25	62.458333333333336
2	2	25.272727272727273	45.45454545454545
3	2	19.695652173913043	21.869565217391305
0	3	70.0	70.0
1	3	63.526315789473685	87.52631578947368
2	3	76.03846153846153	117.57692307692308
3	3	103.16	65.24

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
