No.	line_No	x	y
0	0	70.0	70.0
1	0	112.25	69.45
2	0	124.1875	107.5625
3	0	119.66666666666667	130.94444444444446
0	1	70.0	70.0
1	1	22.375	58.375
2	1	11.727272727272727	30.954545454545453
3	1	44.0	21.625
0	2	70.0	70.0
1	2	61.23529411764706	52.1764705882353
2	2	92.58333333333333	31.458333333333332
3	2	117.42857142857143	20.785714285714285
0	3	70.0	70.0
1	3	83.33333333333333	96.16666666666667
2	3	26.473684210526315	101.84210526315789
3	3	43.8	125.9

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
